Run,Method,Correctly Identified Poison,Fraction Correct (Poison),Total Poison
97,ABOD,400,0.18214936247723132,2196
97,CBLOF,232,0.10564663023679417,2196
98,ISO,841,0.3848970251716247,2185
98,ABOD,413,0.18901601830663617,2185
98,CBLOF,236,0.1080091533180778,2185
99,ISO,760,0.34404708012675417,2209
99,ABOD,356,0.16115889542779538,2209
99,CBLOF,224,0.10140334993209597,2209
100,ISO,767,0.35054844606946983,2188
100,ABOD,402,0.18372943327239488,2188
100,CBLOF,204,0.09323583180987204,2188
